mapping_id,obligation_id,domestic_norm,domestic_article,source_type,source_rank,correspondence_presence,coverage_status,actor_fit,procedure_fit,coordination_fit,enforcement_fit,rights_safeguard_fit,vertical_mandate_specification,gap_type,review_priority,review_status
MEX_MAP_IHR2005_006_001,IHR-OBL-006,Ley General de Salud,"Art. 136, fracciones I-IV",statute,2,substantive_partial,partial_coverage,partial,partial,partial,weak,not directly implicated,partial,partial regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_006_002,IHR-OBL-006,Ley General de Salud,Art. 181,statute,2,substantive_partial,partial_coverage,partial,weak,weak,weak,not directly implicated,partial,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_007_001,IHR-OBL-007,Reglamento Interior de la Secretaría de Salud,"Art. 33, fracs. I-IV",regulation,1,substantive_partial,partial_coverage,strong,weak,partial,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_007_002,IHR-OBL-007,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,substantive_partial,partial_coverage,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_008_001,IHR-OBL-008,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,substantive_partial,partial_coverage,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review
MEX_MAP_IHR2005_009_001,IHR-OBL-009,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,substantive_partial,partial_coverage,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review
MEX_MAP_IHR2005_010_001,IHR-OBL-010,Ley General de Salud,Art. 181,statute,2,substantive_partial,partial_coverage,partial,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_010_002,IHR-OBL-010,Ley General de Salud,"Art. 184, fracciones I-V",statute,2,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_010_003,IHR-OBL-010,Reglamento Interior de la Secretaría de Salud,"Art. 43, frac. IX",regulation,1,substantive_partial,partial_coverage,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_012_001,IHR-OBL-012,Ley General de Salud,"Art. 134, fracciones I-XIV",statute,2,substantive_partial,partial_coverage,partial,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_012_002,IHR-OBL-012,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 4.2–4.3,NOM,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_013_001,IHR-OBL-013,Ley General de Salud,Art. 146,statute,2,substantive_partial,partial_coverage,partial,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_013_002,IHR-OBL-013,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 3.1.11–3.1.12,NOM,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_014_001,IHR-OBL-014,Ley General de Salud,"Art. 134, fracciones I-XIV",statute,2,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_014_002,IHR-OBL-014,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 6.6.1–6.6.2,NOM,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_015_001,IHR-OBL-015,Ley General de Salud,Art. 181,statute,2,substantive_partial,partial_coverage,partial,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_015_002,IHR-OBL-015,Reglamento Interior de la Secretaría de Salud,"Art. 43, frac. IX",regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_016_001,IHR-OBL-016,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 26,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_016_002,IHR-OBL-016,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 27,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_016_003,IHR-OBL-016,Ley General de Salud,Art. 352,statute,2,substantive_complete,complete_coverage,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_017_001,IHR-OBL-017,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 26,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_017_002,IHR-OBL-017,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Artículo 6o.,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_018_001,IHR-OBL-018,Ley General de Salud,Art. 352,statute,2,substantive_complete,complete_coverage,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_018_002,IHR-OBL-018,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 10,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_019_001,IHR-OBL-019,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 10,regulation,1,substantive_partial,partial_coverage,strong,strong,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_019_002,IHR-OBL-019,Ley General de Salud,Art. 352,statute,2,substantive_partial,partial_coverage,strong,partial,partial,weak,not directly implicated,partial,none,high,preliminary_ai_assisted
MEX_MAP_IHR2005_020_001,IHR-OBL-020,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,regulation,1,substantive_partial,partial_coverage,partial,weak,weak,weak,not directly implicated,not directly implicated,regulatory gap,low,requires_human_review
MEX_MAP_IHR2005_021_001,IHR-OBL-021,Ley General de Salud,Art. 359,statute,2,substantive_partial,partial_coverage,partial,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review
MEX_MAP_IHR2005_022_001,IHR-OBL-022,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 26,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_022_002,IHR-OBL-022,Ley Aduanera,Art. 3o.,statute,2,substantive_partial,partial_coverage,partial,weak,partial,weak,not directly implicated,partial,coordination gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_023_001,IHR-OBL-023,Ley General de Salud,"Art. 17 Bis, fracción IX",statute,2,substantive_complete,complete_coverage,strong,partial,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_023_002,IHR-OBL-023,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_024_001,IHR-OBL-024,Constitución Política de los Estados Unidos Mexicanos,"Art. 14, párrafos 1-2",constitution,3,contextual_or_enabling_only,no_substantive_coverage,partial,partial,none identified,partial,strong,not directly implicated,rights safeguard gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_024_002,IHR-OBL-024,Ley General de Salud,"Art. 139, fracciones I-VIII",statute,2,substantive_partial,partial_coverage,partial,partial,partial,partial,strong,partial,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_025_001,IHR-OBL-025,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,regulation,1,substantive_partial,partial_coverage,partial,partial,partial,partial,strong,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_025_002,IHR-OBL-025,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 70,regulation,1,substantive_partial,partial_coverage,partial,partial,partial,partial,strong,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_026_001,IHR-OBL-026,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,not directly implicated,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_026_002,IHR-OBL-026,Ley Aduanera,Art. 7o.,statute,2,substantive_partial,partial_coverage,partial,weak,partial,weak,not directly implicated,not directly implicated,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_027_001,IHR-OBL-027,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 68,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_027_002,IHR-OBL-027,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,regulation,1,substantive_partial,partial_coverage,partial,partial,partial,partial,partial,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_028_001,IHR-OBL-028,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,partial,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_028_002,IHR-OBL-028,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 70,regulation,1,substantive_partial,partial_coverage,partial,partial,partial,partial,partial,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_029_001,IHR-OBL-029,Constitución Política de los Estados Unidos Mexicanos,"Art. 14, párrafos 1-2",constitution,3,contextual_or_enabling_only,no_substantive_coverage,partial,partial,none identified,partial,strong,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_029_002,IHR-OBL-029,Ley General de Salud,"Art. 139, fracciones I-VIII",statute,2,substantive_partial,partial_coverage,partial,partial,partial,partial,strong,partial,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_030_001,IHR-OBL-030,Ley General de Salud,"Art. 139, fracciones I-VIII",statute,2,substantive_partial,partial_coverage,strong,partial,partial,partial,partial,partial,partial regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_030_002,IHR-OBL-030,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 68,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,partial,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_031_001,IHR-OBL-031,Constitución Política de los Estados Unidos Mexicanos,Art. 1o.,constitution,3,contextual_or_enabling_only,no_substantive_coverage,partial,none identified,none identified,partial,strong,not directly implicated,rights safeguard gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_031_002,IHR-OBL-031,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,regulation,1,substantive_partial,partial_coverage,partial,partial,partial,partial,partial,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_032_001,IHR-OBL-032,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 9,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,not directly implicated,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_033_001,IHR-OBL-033,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Artículo 3o.,regulation,1,substantive_partial,partial_coverage,partial,weak,weak,weak,not directly implicated,not directly implicated,regulatory gap,low,requires_human_review
MEX_MAP_IHR2005_034_001,IHR-OBL-034,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 9,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_035_001,IHR-OBL-035,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 9,regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_036_001,IHR-OBL-036,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,regulation,1,substantive_partial,partial_coverage,partial,weak,weak,weak,not directly implicated,not directly implicated,regulatory gap,low,requires_human_review
MEX_MAP_IHR2005_038_001,IHR-OBL-038,Ley Aduanera,"Art. 56, párrafo 4 (regulaciones y restricciones no arancelarias / sanidad)",statute,2,contextual_or_enabling_only,no_substantive_coverage,partial,weak,weak,weak,not directly implicated,partial,full gap,low,requires_human_review
MEX_MAP_IHR2005_039_001,IHR-OBL-039,Constitución Política de los Estados Unidos Mexicanos,Art. 1o.,constitution,3,contextual_or_enabling_only,no_substantive_coverage,partial,none identified,none identified,partial,strong,not directly implicated,rights safeguard gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_039_002,IHR-OBL-039,Ley General de Salud,"Art. 139, fracciones I-VIII",statute,2,substantive_partial,partial_coverage,partial,partial,partial,partial,partial,partial,procedural gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_040_001,IHR-OBL-040,Ley General de Salud,Art. 181,statute,2,substantive_partial,partial_coverage,strong,partial,partial,partial,partial,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_040_002,IHR-OBL-040,Ley General de Salud,"Art. 184, fracciones I-V",statute,2,substantive_partial,partial_coverage,strong,partial,partial,partial,partial,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_041_001,IHR-OBL-041,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,substantive_partial,partial_coverage,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review
MEX_MAP_IHR2005_042_001,IHR-OBL-042,Ley General de Salud,"Art. 184, fracciones I-V",statute,2,substantive_partial,partial_coverage,partial,weak,weak,weak,not directly implicated,partial,procedural gap,low,requires_human_review
MEX_MAP_IHR2005_043_001,IHR-OBL-043,Reglamento Interior de la Secretaría de Salud,"Art. 33, fracs. I-IV",regulation,1,substantive_partial,partial_coverage,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_043_002,IHR-OBL-043,Ley Orgánica de la Administración Pública Federal,Artículo 28,statute,2,substantive_partial,partial_coverage,strong,partial,partial,weak,not directly implicated,partial,coordination gap,medium,preliminary_ai_assisted
MEX_MAP_IHR2005_044_001,IHR-OBL-044,Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados,Artículo 16,statute,2,substantive_complete,complete_coverage,strong,strong,partial,strong,strong,partial,partial regulatory gap,high,preliminary_ai_assisted
MEX_MAP_IHR2005_044_002,IHR-OBL-044,Constitución Política de los Estados Unidos Mexicanos,"Art. 16, párrafos 1-2",constitution,3,contextual_or_enabling_only,no_substantive_coverage,partial,partial,none identified,partial,strong,not directly implicated,none,high,preliminary_ai_assisted
MEX_MAP_IHR2005_045_001,IHR-OBL-045,Reglamento de la Ley General de Salud en Materia de Investigación para la Salud,Art. 11,regulation,1,contextual_or_enabling_only,no_substantive_coverage,weak,weak,weak,none identified,not directly implicated,not directly implicated,full gap,low,requires_human_review
