obligation_id,article,article_title,obligation_text_short,obligation_type,legal_force,requires_domestic_legal_anchoring,implementation_domain
IHR-OBL-013,"Annex 1A, par.5",Core capacity — intermediate public health response level,"At the intermediate public health response level: capacity to confirm the status of reported events and support or implement additional control measures; and to assess reported events immediately and, if urgent, report all essential information to the national level.",Capacity development (intermediate level),Binding,Yes,CC3 – Surveillance; CC4 – Response
IHR-OBL-014,"Annex 1A, par.6 (assessment)",Core capacity — national level assessment and notification,At the national level: capacity to assess all reports of urgent events within 48 hours; to notify WHO immediately through the NFP when assessment indicates a notifiable event per Art. 6 and Annex 2; and to inform WHO as required under Art. 7 and Art. 9(2).,Notification and assessment (time-bound),Binding,Yes,CC2 – NFP; CC3 – Surveillance; CC4 – Response
IHR-OBL-015,"Annex 1A, par.6 (response)",Core capacity — national level public health response,"At the national level: capacity to determine control measures; provide specialized staff, laboratory analysis, and logistical support; conduct on-site assistance; link directly with senior health officials; liaise with other government ministries; establish a national public health emergency response plan with multidisciplinary/multisectoral teams; and operate on a 24-hour basis.",Capacity development (national institutional),Binding,Yes,CC4 – Response; CC5 – Preparedness; CC2 – Coordination; CC8 – Laboratory
IHR-OBL-016,"Annex 1B, par.1",Core capacity — designated PoE baseline (at all times),"At all times, designated airports, ports, and ground crossings shall have capacity to: provide access to appropriate medical services and diagnostic facilities; provide transport for ill travellers; provide trained personnel for conveyance inspection; ensure a safe environment at PoE facilities; and provide vector and reservoir control programmes.",Capacity development (PoE baseline),Binding,Yes,PoE – Points of entry; CC4 – Response
IHR-OBL-017,"Annex 1B, par.2",Core capacity — designated PoE PHEIC response,"For events that may constitute a PHEIC, designated PoE shall have capacity to: establish and maintain a public health emergency contingency plan with a coordinator; arrange assessment and care of affected travellers; provide separate interview space; apply quarantine; apply decontamination measures; apply entry/exit controls; and access specialized equipment for potentially infectious travellers.",Capacity development (PoE emergency response),Binding,Yes,PoE; CC4 – Response; CC5 – Preparedness
IHR-OBL-018,Art. 19,General obligations at points of entry,Each State Party shall ensure Annex 1 capacities for designated PoE are developed within the Art. 5/13 timeframe; identify the competent authority at each designated PoE; and furnish relevant data on sources of infection or contamination at PoE upon WHO request.,Institutional designation and capacity development,Binding,Yes,PoE; CC2 – Coordination; CC1 – National legislation
IHR-OBL-019,Art. 20(1),Airports and ports — designation,States Parties shall designate the airports and ports that shall develop the core capacity requirements provided in Annex 1.,Administrative designation,Binding,Yes,"PoE; CC1 – Legislation, policy and financing"
IHR-OBL-020,Art. 20(2),Airports and ports — Ship Sanitation Certificates,States Parties shall ensure Ship Sanitation Control Exemption Certificates and Ship Sanitation Control Certificates are issued in accordance with Art. 39 and the model provided in Annex 3.,Procedural (certification and inspection),Binding,Yes,PoE; CC4 – Response
IHR-OBL-021,Art. 20(3),Airports and ports — notification of authorized ports to WHO,Each State Party shall send WHO a list of ports authorized to issue Ship Sanitation Certificates and inform WHO of any changes; WHO publishes this information.,Reporting (administrative),Binding,Partial/Context-dependent,PoE; CC2 – Coordination
IHR-OBL-022,Art. 21,Ground crossings — designation and bilateral agreements,A State Party may designate ground crossings that shall develop Annex 1 capacities; States Parties sharing common borders should consider entering into bilateral or multilateral agreements and jointly designating adjacent ground crossings.,Institutional designation (qualified); inter-state cooperation (soft obligation),Binding for designation process; soft obligation ('should consider') for bilateral agreements,Partial/Context-dependent,PoE; CC2 – Coordination; CC1 – Legislation
IHR-OBL-023,Art. 22(1),Role of competent authorities at PoE,Competent authorities shall: monitor arrivals and departures for contamination; maintain sanitary conditions at PoE facilities; supervise decontamination of conveyances and goods; advise conveyance operators of control measures; safely dispose of contaminated materials; control ship sewage discharge; supervise service providers; maintain effective contingency arrangements; and communicate with the NFP.,Institutional mandate (operational),Binding,Yes,PoE; CC4 – Response; CC2 – Coordination
IHR-OBL-024,Art. 23(3),Health measures on arrival and departure — informed consent,"No medical examination, vaccination, prophylaxis, or health measure under these Regulations shall be carried out on travellers without their prior express informed consent or that of their parents or guardians, except as provided in Art. 31(2) (imminent public health risk).",Rights safeguard (informed consent),Binding,Yes,Rights protection; CC4 – Response; PoE
IHR-OBL-025,Art. 23(4),Health measures on arrival and departure — vaccination risk information,"Travellers to be vaccinated or offered prophylaxis pursuant to these Regulations, or their parents or guardians, shall be informed of any risk associated with vaccination or non-vaccination; States Parties shall inform medical practitioners of these requirements in accordance with national law.",Rights safeguard and information duty,Binding,Yes,Rights protection; CC6 – Risk communication
IHR-OBL-026,Art. 24(1),Conveyance operators — obligations,"States Parties shall take all practicable measures to ensure conveyance operators comply with WHO-recommended health measures; inform travellers of applicable health measures; and permanently keep conveyances free of sources of infection or contamination, including vectors and reservoirs.",Regulatory (obligations on private actors),Binding (qualified by 'all practicable measures'),Yes,PoE; CC4 – Response; CC1 – Legislation
IHR-OBL-027,Art. 27(1),Affected conveyances — health measures,"If clinical signs or evidence of a public health risk are found on board a conveyance, the competent authority may disinfect, decontaminate, disinsect, or derat the conveyance; may isolate it as necessary; and shall report additional measures to the NFP.",Response power (enforcement at PoE),Binding,Yes,PoE; CC4 – Response
IHR-OBL-028,Art. 30,Travellers under public health observation,A suspect traveller placed under public health observation on arrival may continue an international voyage if not posing an imminent public health risk; the State Party shall inform the destination competent authority; the traveller shall report to that authority on arrival.,Rights safeguard and procedural obligation,Binding,Yes,PoE; CC4 – Response; Rights protection
IHR-OBL-029,Art. 31(1),Health measures relating to entry — prohibition on invasive entry conditions,"Invasive medical examination, vaccination, or other prophylaxis shall not be required as a condition of entry of any traveller, except where: (a) necessary to determine a public health risk; (b) as a condition for travellers seeking temporary or permanent residence; (c) per Art. 43 or Annexes 6-7; or (d) per Art. 23 procedures.",Rights safeguard (prohibition with defined exceptions),Binding,Yes,Rights protection; PoE; CC1 – Legislation
IHR-OBL-030,Art. 31(2),Health measures relating to entry — compulsory measures in exceptional circumstances,"If a traveller refuses examination or documentation requirements and there is evidence of an imminent public health risk, the State Party may, in accordance with national law, compel the least invasive examination, vaccination, or other established health measures including isolation, quarantine, or public health observation.",Enforcement power (conditional),Binding (conditional on 'national law' and 'imminent public health risk'),Yes,Rights protection; CC4 – Response; PoE
IHR-OBL-031,Art. 32,Treatment of travellers,"States Parties shall treat travellers subject to health measures with respect for their dignity, human rights, and fundamental freedoms; minimize discomfort; take into account gender, sociocultural, ethnic, and religious concerns; and provide adequate food, water, accommodation, clothing, medical treatment, communication, and assistance when quarantined or isolated.",Rights safeguard (dignity and humane treatment),Binding,Yes,Rights protection; PoE; CC4 – Response
IHR-OBL-032,Art. 35,General rule — no additional health documents in international traffic,"No health documents other than those provided for under the IHR or in WHO recommendations shall be required in international traffic, except for travellers seeking temporary or permanent residence and for goods/cargo pursuant to applicable international agreements.",Prohibition (non-addition of health document requirements),Binding,Yes,Rights protection; PoE; CC1 – Legislation
IHR-OBL-033,Art. 36,Certificates of vaccination or other prophylaxis,"Vaccines and prophylaxis administered pursuant to IHR shall conform to Annex 6 (and Annex 7 for specific diseases); a traveller holding a conforming certificate shall not be denied entry on the basis of the disease referenced, unless the competent authority has verifiable evidence that the vaccination was not effective.",Rights safeguard and procedural standard,Binding,Yes,PoE; Rights protection; CC4 – Response
IHR-OBL-034,Art. 37,Maritime Declaration of Health,"The master of a ship shall complete and deliver a Maritime Declaration of Health conforming to Annex 8 on arrival at the first port in State Party territory, unless the State Party does not require it; the master or ship's surgeon shall supply any health information requested by the competent authority.",Procedural reporting (with State Party discretion to waive),Binding (subject to State Party's decision to require or waive),Partial/Context-dependent,PoE; CC3 – Surveillance
IHR-OBL-035,Art. 38,Health Part of the Aircraft General Declaration,"The pilot in command or agent shall complete and deliver the Health Part of the Aircraft General Declaration conforming to Annex 9 on landing at the first airport in State Party territory, unless the State Party does not require it; the pilot or agent shall supply health information requested by the State Party.",Procedural reporting (with State Party discretion to waive),Binding (subject to State Party's decision to require or waive),Partial/Context-dependent,PoE; CC3 – Surveillance
IHR-OBL-036,Art. 39,Ship sanitation certificates — issuance and validity,Ship Sanitation Control Exemption Certificates and Ship Sanitation Control Certificates shall be valid for a maximum of 6 months with a possible 1-month extension; the competent authority shall issue the appropriate certificate after inspection and satisfactory control measures; certificates shall conform to Annex 3 model.,Procedural (certification and inspection),Binding,Yes,PoE; CC4 – Response
IHR-OBL-037,Art. 40,Charges for health measures regarding travellers,"No charge shall be made to travellers (other than those seeking residence) for specified health measures: medical examinations, vaccines on arrival without prior notice, quarantine, certificates, and baggage health measures; a single tariff is required for chargeable measures; charges shall be published at least 10 days in advance; charges shall not distinguish by nationality, domicile, or residence.",Rights safeguard and financial regulation,Binding,Yes,Rights protection; PoE; CC1 – Legislation
IHR-OBL-038,Art. 41,"Charges for health measures on goods, cargo, containers, and conveyances","Where charges are made for applying health measures to goods, cargo, containers, conveyances, or postal parcels, there shall be a single tariff not exceeding actual cost; the tariff shall be published at least 10 days in advance; charges shall not discriminate by nationality, flag, registry, or ownership.",Financial regulation and non-discrimination,Binding,Yes,PoE; CC1 – Legislation
IHR-OBL-039,Art. 42,Implementation of health measures — transparency and non-discrimination,"Health measures taken pursuant to these Regulations shall be initiated and completed without delay, and applied in a transparent and non-discriminatory manner.",General implementation principle and rights safeguard,Binding,Yes,Rights protection; CC4 – Response; CC1 – Legislation
IHR-OBL-040,Art. 43(1)-(2),Additional health measures — scientific basis and proportionality,"States Parties may implement health measures achieving the same or greater health protection than WHO recommendations, not more restrictive of international traffic or more intrusive to persons than reasonably available alternatives; such measures must be based on scientific principles, available scientific evidence, and WHO guidance.",Regulatory permission (conditional),Binding,Yes,CC4 – Response; CC1 – Legislation; Rights protection
IHR-OBL-041,Art. 43(3) and (5),Additional health measures — notification to WHO,A State Party implementing additional health measures significantly interfering with international traffic shall provide WHO with the public health rationale and relevant scientific information within 48 hours of implementation; WHO shares this information with other States Parties.,Reporting to WHO (48-hour notification),Binding,Yes,CC2 – NFP; CC1 – Legislation
IHR-OBL-042,Art. 43(6),Additional health measures — periodic review,"A State Party implementing additional health measures shall review such measures within 3 months, taking into account WHO advice and the criteria in Art. 43(2) (scientific principles, available evidence, WHO guidance).",Review obligation,Binding,Yes,CC4 – Response; CC2 – Coordination; CC1 – Legislation
IHR-OBL-043,Art. 44(1),Collaboration and assistance between States Parties,"States Parties shall undertake to collaborate with each other, to the extent possible, in: (a) detection and response to events; (b) technical cooperation and logistical support; (c) mobilization of financial resources; and (d) formulation of proposed laws and other legal and administrative provisions for IHR implementation.",Cooperation and legislative assistance,Binding (qualified by 'to the extent possible'),Partial/Context-dependent,CC1 – National legislation; CC2 – Coordination
IHR-OBL-044,Art. 45,Treatment of personal data,"Health information referring to identified or identifiable persons, collected or received pursuant to the IHR, shall be kept confidential and processed anonymously as required by national law; personal data may be disclosed only when essential for public health risk assessment and management, subject to principles of fair processing, proportionality, accuracy, and limited retention; individuals have a right of access and correction.",Rights safeguard and data protection,Binding,Yes,Rights protection; CC1 – Legislation; CC3 – Surveillance
IHR-OBL-045,Art. 46,Transport and handling of biological substances and diagnostic specimens,"States Parties shall, subject to national law and relevant international guidelines, facilitate the transport, entry, exit, processing and disposal of biological substances, diagnostic specimens, reagents, and other diagnostic materials for verification and public health response purposes under the IHR.",Regulatory facilitation,Binding (qualified by 'subject to national law' and 'taking into account relevant international guidelines'),Yes,CC8 – Laboratory; CC4 – Response; CC1 – Legislation
