mapping_id,obligation_id,domestic_norm,domestic_article,source_type,formal_source_level,correspondence_status,substantive_anchor_status,correspondence_role,mapping_coverage,actor_fit,procedure_fit,coordination_fit,enforcement_fit,rights_safeguard_fit,vertical_mandate_specification,gap_type,review_priority,review_status,official_source_url,official_publication_date,version_or_last_reform_date,verification_date,verified_by,verification_outcome,verification_note
MEX_MAP_IHR2005_004_003,IHR-OBL-004,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 6.6.1–6.6.2,NOM,1,identified,identified,substantive,partial_component,strong,partial,partial,weak,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted,https://www.dof.gob.mx/nota_detalle.php?codigo=5288225,2013-02-19,2013-02-19,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_005_001,IHR-OBL-005,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,identified,identified,substantive,partial_component,strong,partial,weak,weak,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_005_002,IHR-OBL-005,Ley General de Salud,"Art. 136, fracciones I-IV",statute,2,identified,identified,substantive,partial_component,partial,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_006_001,IHR-OBL-006,Ley General de Salud,"Art. 136, fracciones I-IV",statute,2,identified,identified,substantive,partial_component,partial,partial,partial,weak,not directly implicated,partial,partial regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_006_002,IHR-OBL-006,Ley General de Salud,Art. 181,statute,2,identified,identified,substantive,partial_component,partial,weak,weak,weak,not directly implicated,partial,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_007_001,IHR-OBL-007,Reglamento Interior de la Secretaría de Salud,"Art. 33, fracs. I-IV",regulation,1,identified,identified,substantive,partial_component,strong,weak,partial,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_007_002,IHR-OBL-007,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,identified,identified,substantive,partial_component,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_008_001,IHR-OBL-008,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,identified,identified,substantive,partial_component,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_009_001,IHR-OBL-009,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,identified,identified,substantive,partial_component,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_010_001,IHR-OBL-010,Ley General de Salud,Art. 181,statute,2,identified,identified,substantive,partial_component,partial,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_010_002,IHR-OBL-010,Ley General de Salud,"Art. 184, fracciones I-V",statute,2,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_010_003,IHR-OBL-010,Reglamento Interior de la Secretaría de Salud,"Art. 43, frac. IX",regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_012_001,IHR-OBL-012,Ley General de Salud,"Art. 134, fracciones I-XIV",statute,2,identified,identified,substantive,partial_component,partial,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_012_002,IHR-OBL-012,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 4.2–4.3,NOM,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.dof.gob.mx/nota_detalle.php?codigo=5288225,2013-02-19,2013-02-19,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_013_001,IHR-OBL-013,Ley General de Salud,Art. 146,statute,2,identified,identified,substantive,partial_component,partial,partial,partial,weak,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_013_002,IHR-OBL-013,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 3.1.11–3.1.12,NOM,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.dof.gob.mx/nota_detalle.php?codigo=5288225,2013-02-19,2013-02-19,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_014_001,IHR-OBL-014,Ley General de Salud,"Art. 134, fracciones I-XIV",statute,2,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_014_002,IHR-OBL-014,"NOM-017-SSA2-2012, Para la vigilancia epidemiológica",Numeral 6.6.1–6.6.2,NOM,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted,https://www.dof.gob.mx/nota_detalle.php?codigo=5288225,2013-02-19,2013-02-19,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_015_001,IHR-OBL-015,Ley General de Salud,Art. 181,statute,2,identified,identified,substantive,partial_component,partial,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_015_002,IHR-OBL-015,Reglamento Interior de la Secretaría de Salud,"Art. 43, frac. IX",regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_016_001,IHR-OBL-016,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 26,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_016_002,IHR-OBL-016,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 27,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_016_003,IHR-OBL-016,Ley General de Salud,Art. 352,statute,2,identified,identified,substantive,complete_component,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_017_001,IHR-OBL-017,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 26,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_017_002,IHR-OBL-017,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Artículo 6o.,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_018_001,IHR-OBL-018,Ley General de Salud,Art. 352,statute,2,identified,identified,substantive,complete_component,strong,partial,partial,weak,not directly implicated,partial,regulatory gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_018_002,IHR-OBL-018,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 10,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_019_001,IHR-OBL-019,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 10,regulation,1,identified,identified,substantive,partial_component,strong,strong,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_019_002,IHR-OBL-019,Ley General de Salud,Art. 352,statute,2,identified,identified,substantive,partial_component,strong,partial,partial,weak,not directly implicated,partial,none,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_020_001,IHR-OBL-020,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,regulation,1,identified,identified,substantive,partial_component,partial,weak,weak,weak,not directly implicated,not directly implicated,regulatory gap,low,requires_human_review,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_021_001,IHR-OBL-021,Ley General de Salud,Art. 359,statute,2,identified,identified,substantive,partial_component,partial,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_022_001,IHR-OBL-022,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 26,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_022_002,IHR-OBL-022,Ley Aduanera,Art. 3o.,statute,2,identified,identified,substantive,partial_component,partial,weak,partial,weak,not directly implicated,partial,coordination gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/ladua.htm,1995-12-15,2025-11-19,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_023_001,IHR-OBL-023,Ley General de Salud,"Art. 17 Bis, fracción IX",statute,2,identified,identified,substantive,complete_component,strong,partial,partial,partial,not directly implicated,partial,procedural gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_023_002,IHR-OBL-023,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,partial regulatory gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_024_001,IHR-OBL-024,Constitución Política de los Estados Unidos Mexicanos,"Art. 14, párrafos 1-2",constitution,3,identified,not_identified,contextual_or_enabling,contextual_only,partial,partial,none identified,partial,strong,not directly implicated,rights safeguard gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/cpeum.htm,1917-02-05,2026-04-23,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,"article located in consolidated text at stated reform date; NOTE: curated consolidated text reflects a reform dated 2026-04-23, after the pilot's 31 Jan 2026 domestic-law cutoff, so the article's existence is confirmed but its wording should be read against the version in force at cutoff"
MEX_MAP_IHR2005_024_002,IHR-OBL-024,Ley General de Salud,"Art. 139, fracciones I-VIII",statute,2,identified,identified,substantive,partial_component,partial,partial,partial,partial,strong,partial,rights safeguard gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_025_001,IHR-OBL-025,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,regulation,1,identified,identified,substantive,partial_component,partial,partial,partial,partial,strong,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_025_002,IHR-OBL-025,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 70,regulation,1,identified,identified,substantive,partial_component,partial,partial,partial,partial,strong,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_026_001,IHR-OBL-026,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,not directly implicated,partial regulatory gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_026_002,IHR-OBL-026,Ley Aduanera,Art. 7o.,statute,2,identified,identified,substantive,partial_component,partial,weak,partial,weak,not directly implicated,not directly implicated,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/ladua.htm,1995-12-15,2025-11-19,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_027_001,IHR-OBL-027,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 68,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_027_002,IHR-OBL-027,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,regulation,1,identified,identified,substantive,partial_component,partial,partial,partial,partial,partial,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_028_001,IHR-OBL-028,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,partial,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_028_002,IHR-OBL-028,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 70,regulation,1,identified,identified,substantive,partial_component,partial,partial,partial,partial,partial,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
